SLURM_JOBID=71732
SLURM_SUBMIT_DIR=/home/fit_opp/22210/zagneev/lab5
SLURM_JOB_NODELIST=gpn-node[16-17]
SLURM_NODELIST=gpn-node[16-17]
SLURM_CPUS_PER_TASK=1
SLURM_NTASKS=16
SLURM_NNODES=2
Local work time: 3.272999, worked 2488120,  iter 10, rank 14
Local work time: 3.293998, worked 2555180,  iter 10, rank 10
Local work time: 3.220999, worked 2422960,  iter 10, rank 13
Local work time: 3.374996, worked 2492640,  iter 10, rank 9
Local work time: 3.309996, worked 2458100,  iter 10, rank 6
Local work time: 3.336998, worked 2462980,  iter 10, rank 7
Local work time: 3.464972, worked 2497140,  iter 10, rank 0
Local work time: 3.463998, worked 2487320,  iter 10, rank 8
Local work time: 3.466999, worked 2536880,  iter 10, rank 4
Local work time: 3.383999, worked 2447100,  iter 10, rank 12
Local work time: 3.690992, worked 2516420,  iter 10, rank 3
Total time: 40.313991
Local work time: 2.815990, worked 2567540,  iter 1, rank 0
Local work time: 2.915996, worked 2445580,  iter 1, rank 6
Local work time: 2.945980, worked 2531000,  iter 1, rank 3
Local work time: 2.935682, worked 2524200,  iter 1, rank 12
Local work time: 2.905948, worked 2482260,  iter 1, rank 10
Local work time: 2.943952, worked 2431460,  iter 1, rank 9
Local work time: 3.014980, worked 2524240,  iter 1, rank 4
Local work time: 3.058978, worked 2505500,  iter 1, rank 2
Local work time: 3.082811, worked 2548400,  iter 1, rank 5
Local work time: 3.144999, worked 2508920,  iter 1, rank 14
Local work time: 3.122999, worked 2465100,  iter 1, rank 11
Local work time: 3.314805, worked 2565580,  iter 1, rank 8
Local work time: 3.254006, worked 2509860,  iter 1, rank 1
Local work time: 3.308998, worked 2470960,  iter 1, rank 13
Local work time: 2.620092, worked 2452160,  iter 1, rank 7
Local work time: 2.719001, worked 2509260,  iter 1, rank 10
Local work time: 2.834990, worked 2509860,  iter 1, rank 1
Local work time: 2.860989, worked 2531000,  iter 1, rank 3
Local work time: 2.946987, worked 2499580,  iter 1, rank 6
Local work time: 2.959000, worked 2546100,  iter 1, rank 11
Local work time: 3.018993, worked 2440400,  iter 1, rank 5
Local work time: 3.050001, worked 2513540,  iter 1, rank 0
Local work time: 3.081000, worked 2524960,  iter 1, rank 13
Local work time: 3.149998, worked 2512460,  iter 1, rank 9
Local work time: 3.269434, worked 2524240,  iter 1, rank 4
Local work time: 3.241999, worked 2440240,  iter 1, rank 15
Local work time: 3.311001, worked 2511580,  iter 1, rank 8
Local work time: 3.475000, worked 2508920,  iter 1, rank 14
Local work time: 3.571989, worked 2505500,  iter 1, rank 2
Local work time: 3.730995, worked 2470200,  iter 1, rank 12
Local work time: 2.711011, worked 2509860,  iter 2, rank 1
Local work time: 2.782989, worked 2567540,  iter 2, rank 0
Local work time: 2.918022, worked 2531000,  iter 2, rank 3
Local work time: 2.835053, worked 2538580,  iter 2, rank 8
Local work time: 2.924019, worked 2532500,  iter 2, rank 2
Local work time: 2.909006, worked 2521400,  iter 2, rank 5
Local work time: 2.896006, worked 2509260,  iter 2, rank 10
Local work time: 2.934000, worked 2492100,  iter 2, rank 11
