SLURM_JOBID=71742
SLURM_SUBMIT_DIR=/home/fit_opp/22210/zagneev/lab5
SLURM_JOB_NODELIST=gpn-node16
SLURM_NODELIST=gpn-node16
SLURM_CPUS_PER_TASK=1
SLURM_NTASKS=8
SLURM_NNODES=1
Local work time: 5.832997, worked 5022160,  iter 2, rank 6
Local work time: 5.216999, worked 5001340,  iter 3, rank 2
Local work time: 5.150007, worked 4962440,  iter 3, rank 5
Local work time: 5.295999, worked 5027960,  iter 3, rank 6
Local work time: 5.384997, worked 5035340,  iter 3, rank 4
Local work time: 5.414016, worked 5003420,  iter 3, rank 3
Local work time: 5.527970, worked 5071020,  iter 3, rank 0
Local work time: 5.404997, worked 4925860,  iter 3, rank 1
Local work time: 5.482999, worked 4972620,  iter 3, rank 7
Local work time: 5.221076, worked 4970760,  iter 4, rank 7
Local work time: 5.198038, worked 5015720,  iter 4, rank 6
Local work time: 5.382970, worked 4988360,  iter 4, rank 4
Local work time: 5.397962, worked 4995500,  iter 4, rank 5
Local work time: 5.444987, worked 5007060,  iter 4, rank 2
Local work time: 5.486206, worked 5013340,  iter 4, rank 1
Local work time: 5.502981, worked 5002160,  iter 4, rank 0
Local work time: 5.431004, worked 5007100,  iter 4, rank 3
Local work time: 5.406998, worked 4963080,  iter 5, rank 1
Local work time: 5.349999, worked 5056660,  iter 5, rank 5
Local work time: 5.396000, worked 4967600,  iter 5, rank 3
Local work time: 5.598996, worked 5003100,  iter 5, rank 0
Local work time: 5.633001, worked 4978600,  iter 5, rank 2
Local work time: 5.645005, worked 5005580,  iter 5, rank 7
Local work time: 5.678998, worked 4973200,  iter 5, rank 6
Local work time: 5.939995, worked 5052180,  iter 5, rank 4
Local work time: 5.242262, worked 5000620,  iter 6, rank 4
Local work time: 5.323972, worked 4986480,  iter 6, rank 0
Local work time: 5.409882, worked 4996860,  iter 6, rank 5
Local work time: 5.436987, worked 5024380,  iter 6, rank 6
Local work time: 5.427036, worked 5055780,  iter 6, rank 7
Local work time: 5.466000, worked 4936960,  iter 6, rank 1
Local work time: 5.641944, worked 4990420,  iter 6, rank 3
Local work time: 5.675953, worked 5008500,  iter 6, rank 2
Local work time: 5.217164, worked 5035300,  iter 7, rank 5
Local work time: 5.365994, worked 4953140,  iter 7, rank 1
Local work time: 5.448002, worked 5077140,  iter 7, rank 7
Local work time: 5.489000, worked 4926320,  iter 7, rank 6
Local work time: 5.484000, worked 4955100,  iter 7, rank 3
Local work time: 5.557997, worked 4987120,  iter 7, rank 4
Local work time: 5.663997, worked 5055080,  iter 7, rank 2
Local work time: 5.871000, worked 5010800,  iter 7, rank 0
Local work time: 5.398999, worked 4884480,  iter 8, rank 6
Local work time: 5.448998, worked 4951620,  iter 8, rank 4
Local work time: 5.540009, worked 5039860,  iter 8, rank 7
Local work time: 5.601998, worked 4985920,  iter 8, rank 1
Local work time: 5.631000, worked 5073020,  iter 8, rank 5
Local work time: 5.721998, worked 5073320,  iter 8, rank 2
Local work time: 5.741998, worked 5006820,  iter 8, rank 0
Local work time: 5.644997, worked 4984960,  iter 8, rank 3
Local work time: 5.463999, worked 5060640,  iter 9, rank 4
Local work time: 5.516000, worked 5026700,  iter 9, rank 5
Local work time: 5.495998, worked 4947680,  iter 9, rank 3
Local work time: 5.640999, worked 5023040,  iter 9, rank 0
Local work time: 5.604001, worked 4956360,  iter 9, rank 1
Local work time: 5.603000, worked 4930640,  iter 9, rank 6
Local work time: 5.570002, worked 5001120,  iter 9, rank 7
Local work time: 5.693999, worked 5053820,  iter 9, rank 2
Local work time: 5.242998, worked 4982340,  iter 10, rank 5
Local work time: 5.268021, worked 5045960,  iter 10, rank 2
Local work time: 5.291990, worked 4948080,  iter 10, rank 3
Local work time: 5.318997, worked 4975680,  iter 10, rank 1
Local work time: 5.434997, worked 5048980,  iter 10, rank 0
Local work time: 5.438998, worked 5040940,  iter 10, rank 7
Local work time: 5.452001, worked 4979960,  iter 10, rank 4
Local work time: 5.578004, worked 4978060,  iter 10, rank 6
Total time: 59.486121
Local work time: 5.498986, worked 4916040,  iter 1, rank 4
Local work time: 5.592981, worked 5126640,  iter 1, rank 2
Local work time: 5.603979, worked 4951740,  iter 1, rank 3
Local work time: 5.615009, worked 5009500,  iter 1, rank 1
