SLURM_JOBID=71772
SLURM_SUBMIT_DIR=/home/fit_opp/22210/zagneev/lab5
SLURM_JOB_NODELIST=gpn-node[16-17]
SLURM_NODELIST=gpn-node[16-17]
SLURM_CPUS_PER_TASK=1
SLURM_NTASKS=16
SLURM_NNODES=2
Local work time: 1.997061, worked 1980000, iter 10, rank 3
Local work time: 2.365839, worked 2348340, iter 10, rank 2
Local work time: 2.426992, worked 2412200, iter 10, rank 10
Local work time: 2.858654, worked 2845300, iter 10, rank 1
Local work time: 2.974804, worked 2962220, iter 10, rank 11
Local work time: 3.376794, worked 3364540, iter 10, rank 0
Local work time: 3.429191, worked 3417240, iter 10, rank 12
Local work time: 3.793519, worked 3765460, iter 10, rank 15
Local work time: 3.831979, worked 3820800, iter 10, rank 13
Total time: 40.204449
Local work time: 4.054291, worked 4027600, iter 10, rank 14
Local work time: 1.353723, worked 1331420, iter 1, rank 7
Local work time: 1.364507, worked 1340180, iter 1, rank 8
Local work time: 1.431738, worked 1409780, iter 1, rank 6
Local work time: 1.463133, worked 1440880, iter 1, rank 9
Local work time: 1.713691, worked 1694220, iter 1, rank 5
Local work time: 1.721406, worked 1702200, iter 1, rank 10
Local work time: 2.159452, worked 2143060, iter 1, rank 11
Local work time: 2.168236, worked 2149740, iter 1, rank 4
Local work time: 2.645175, worked 2631940, iter 1, rank 12
Local work time: 2.672550, worked 2657540, iter 1, rank 3
Local work time: 3.158474, worked 3145320, iter 1, rank 13
Local work time: 3.160111, worked 3146060, iter 1, rank 2
Local work time: 3.640492, worked 3612080, iter 1, rank 14
Local work time: 3.682658, worked 3670120, iter 1, rank 1
Local work time: 3.968277, worked 3941840, iter 1, rank 15
Local work time: 3.995043, worked 3983620, iter 1, rank 0
Local work time: 1.355451, worked 1332000, iter 2, rank 10
Local work time: 1.382354, worked 1359640, iter 2, rank 9
Local work time: 1.389163, worked 1366780, iter 2, rank 8
Local work time: 1.543628, worked 1522460, iter 2, rank 11
Local work time: 1.598223, worked 1576940, iter 2, rank 7
