SLURM_JOBID=71755
SLURM_SUBMIT_DIR=/home/fit_opp/22210/zagneev/lab5
SLURM_JOB_NODELIST=gpn-node16
SLURM_NODELIST=gpn-node16
SLURM_CPUS_PER_TASK=1
SLURM_NTASKS=8
SLURM_NNODES=1
Local work time: 2.792076, worked 2741200, iter 1, rank 3
Local work time: 2.832604, worked 2781060, iter 1, rank 4
Local work time: 3.883543, worked 3845260, iter 1, rank 5
Local work time: 3.887399, worked 3843960, iter 1, rank 2
Local work time: 5.804738, worked 5777260, iter 1, rank 6
Local work time: 5.834029, worked 5803600, iter 1, rank 1
Local work time: 7.576635, worked 7553920, iter 1, rank 7
Local work time: 7.678390, worked 7653740, iter 1, rank 0
Local work time: 2.774993, worked 2726420, iter 2, rank 4
Local work time: 2.906036, worked 2854460, iter 2, rank 5
Local work time: 3.564712, worked 3522000, iter 2, rank 3
Local work time: 4.227526, worked 4190260, iter 2, rank 6
Local work time: 5.412496, worked 5378560, iter 2, rank 2
Local work time: 6.208247, worked 6180560, iter 2, rank 7
Local work time: 7.308417, worked 7281900, iter 2, rank 1
Local work time: 7.889635, worked 7865840, iter 2, rank 0
Local work time: 2.720696, worked 2669840, iter 3, rank 5
Local work time: 3.065788, worked 3019640, iter 3, rank 6
Local work time: 3.289365, worked 3244820, iter 3, rank 4
Local work time: 4.634013, worked 4601260, iter 3, rank 7
Local work time: 5.032392, worked 4998260, iter 3, rank 3
Local work time: 6.594552, worked 6569380, iter 3, rank 0
Local work time: 7.015902, worked 6988500, iter 3, rank 2
Local work time: 7.930961, worked 7908300, iter 3, rank 1
Local work time: 2.758606, worked 2707440, iter 4, rank 6
Local work time: 3.079018, worked 3029980, iter 4, rank 5
Local work time: 3.289403, worked 3244120, iter 4, rank 7
Local work time: 4.626336, worked 4589840, iter 4, rank 4
Local work time: 5.030291, worked 5000560, iter 4, rank 0
Local work time: 6.634641, worked 6607300, iter 4, rank 3
Local work time: 6.940613, worked 6914780, iter 4, rank 1
Local work time: 7.931587, worked 7905980, iter 4, rank 2
Local work time: 2.763873, worked 2711280, iter 5, rank 7
Local work time: 2.923311, worked 2874080, iter 5, rank 6
Local work time: 3.574641, worked 3534500, iter 5, rank 0
Local work time: 4.270923, worked 4231520, iter 5, rank 5
Local work time: 5.404395, worked 5373560, iter 5, rank 1
Local work time: 6.220175, worked 6189340, iter 5, rank 4
Local work time: 7.302605, worked 7277320, iter 5, rank 2
Local work time: 7.833389, worked 7808400, iter 5, rank 3
Local work time: 2.792831, worked 2744560, iter 6, rank 7
Local work time: 2.801396, worked 2749720, iter 6, rank 0
Local work time: 3.903349, worked 3864180, iter 6, rank 1
Local work time: 3.912211, worked 3870160, iter 6, rank 6
Local work time: 5.827182, worked 5799200, iter 6, rank 2
Local work time: 5.833798, worked 5802600, iter 6, rank 5
Local work time: 7.564375, worked 7539440, iter 6, rank 3
